D_lvot,D_an,D_sinus,D_stj,AVA,angle,ratio_lvot_over_an_area,H_sinus
20.31757837,21.41365988,31.33808823,26.88906123,28.8600959,21.27261499,0.900247837,27.5
21.23727599,22.53051027,27.8736351,25.03573757,25.43400289,26.46296998,0.888496183,21
19.05708075,20.21437327,29.73551881,28.52682,29.29067936,16.22690606,0.888775729,25
25.04603782,24.26483991,30.96463597,27.91829324,43.90181568,30.65514368,1.065425785,23
24.46720997,24.21789828,28.21280778,26.03876269,32.02941924,29.03680508,1.020695021,20.5
26.83039406,25.80043108,32.28111415,29.75647814,42.28011227,24.5124443,1.081434394,26
18.38626164,20.48708212,28.88971746,26.36148132,40.22085723,23.76922337,0.805427874,26
17.9249328,19.0488835,28.98427438,23.94272418,21.14244733,23.72472068,0.885474422,24.5
23.78504084,25.01607437,32.72464535,30.61493413,56.80547128,12.58293837,0.904002194,20.5
30.00199709,29.19219148,40.38935956,35.43062777,87.03694392,57.49999875,1.056250508,28.5
22.70680002,23.60126609,31.73531223,30.12503748,51.01754052,18.7999962,0.925638197,24.5
21.63305631,21.87229928,31.71286704,30.2225683,50.98099596,24.92018293,0.9782433,22
21.48034779,21.70583665,29.57856485,29.07567009,82.49070303,23.74627516,0.979331124,20.5
22.00749584,22.75213083,34.42470703,29.47266833,34.0272597,15.77619396,0.935614846,34.5
22.93000498,23.52793371,30.5912428,28.38771471,51.53357839,9.871151157,0.949818714,23.5
26.66012249,25.48990956,34.17520526,30.7452067,58.02999711,43.69553109,1.093925364,24
24.03209965,23.59445023,29.33461298,26.12057467,45.37901215,26.02647845,1.037441717,22
27.60767599,26.60267264,34.11045794,29.33823794,84.8101172,43.58982939,1.076983769,25.5
19.47098298,20.39361637,25.65747602,22.07886084,55.1271245,27.32498983,0.911564205,24
26.43468049,25.99783973,34.16733779,31.59284679,55.95598731,21.01996778,1.033888267,30
22.46698725,23.1005644,26.44352307,25.45266236,55.92751963,10.59864481,0.945898412,20
23.58787657,24.0334571,30.70903536,28.20158385,85.94783946,31.97062401,0.963263712,22
31.48765912,29.5938692,38.83499548,35.07989289,91.19111171,28.95676562,1.132080345,28
23.5402104,24.79934508,31.04291875,28.82295517,54.60994606,43.00841081,0.901032086,24
23.97375478,25.07093805,31.88788429,28.8878186,40.81650336,36.71915499,0.91438891,20
24.9927383,26.99238739,36.96169955,32.23447037,68.30695853,21.5220373,0.857324208,28
24.13302834,25.06439353,33.60012429,27.79710977,66.36611905,34.97797778,0.927062992,29
21.73450158,22.93227202,34.197555,28.22396658,50.84264514,18.8946912,0.898266496,29
25.60751355,27.29941966,37.50073763,32.69521812,105.7399785,19.05642461,0.879889212,27.5
26.1152101,25.59477065,34.04968242,29.5325503,62.71697697,36.31216356,1.041081104,25.5
21.97597229,21.70710848,30.22905293,25.39599698,53.9400173,43.00930584,1.024925373,27.5
24.98423168,25.47614651,33.84636278,31.89735807,61.4269612,27.82053612,0.961755152,25.5
30.58383095,29.06861409,40.64871591,37.04492986,106.7178985,47.99406541,1.106968127,30.5
23.98838718,26.56403604,36.66105132,34.58629318,78.89156068,49.6640528,0.815481247,26
25.62580273,24.54848905,31.63530648,27.73374053,35.48711461,15.84240617,1.089696169,27.5
