D_lvot,D_an,D_sinus,D_stj,AVA,angle,ratio_lvot_over_an_area,H_sinus
26.74797045,25.55221425,33.93078782,28.57055445,60.43451812,14.56648966,1.095783077,26.5
25.27643987,23.85046024,32.39001647,26.97717236,61.22796191,21.29491046,1.123151343,28
28.15984833,26.88917423,32.77060773,27.91957397,130.9381896,29.30728234,1.096745074,26.5
23.8934035,24.38223697,31.44264614,29.83978,60.31113914,14.42197121,0.960304445,24.5
21.32030188,21.8641039,28.1653432,26.04655268,32.82009472,11.59103758,0.950874792,24
20.19837177,21.66597996,28.5712294,27.58385709,41.20391903,4.726114503,0.869112605,19.5
19.74470806,21.21165711,31.16391726,25.86917704,56.31123895,15.68649546,0.86646742,28
23.7352257,24.96673005,36.04576173,33.49433197,65.00304053,36.67168871,0.903781403,27
19.59311433,21.74978593,29.38973458,27.55565942,46.57615974,30.28543141,0.811515785,25
24.49388565,24.66077275,32.95326605,32.16170435,85.65868705,23.42234763,0.986511176,23
27.57459078,25.17456754,33.07522712,27.00586801,77.32402872,55.56103162,1.19975927,24.5
27.07775074,25.56110909,30.72390628,27.21085897,64.36160768,23.23271123,1.122188424,23.5
18.66853792,20.36021093,28.51111901,25.88486008,29.84407334,23.06980226,0.840729075,21.5
26.67227641,25.86335435,30.77785755,26.83114637,65.64365747,38.52900112,1.063531766,26
25.33549621,26.36959188,35.94395469,32.43989588,68.60884458,20.38492345,0.923106933,31.5
20.06829664,23.08174647,33.23981251,29.58640777,70.87058225,9.820563673,0.755933672,24.5
25.51674655,25.4491579,32.90475026,30.84428805,47.4490784,23.05777303,1.005318714,23
21.01030962,21.31629485,26.30067495,23.9075689,42.26970948,13.16839327,0.971497008,22
28.06966976,27.35884212,32.71552275,29.9892814,46.95077283,33.70275887,1.05263833,23.5
20.58898344,21.42412284,30.47355966,28.48949579,61.37751797,17.67474918,0.92355701,20.5
21.66284606,22.50718034,30.16395435,29.60922353,37.34063205,19.27460188,0.926379307,20
24.44173452,25.32881503,30.90781456,29.71691914,87.45864241,29.93440624,0.931181416,18.5
18.35305883,19.12613277,26.19590127,25.07702603,34.04892765,10.86526917,0.920794212,21
22.64496321,22.75542612,29.07281987,25.51753353,39.39660974,21.56637361,0.990314856,23.5
23.50936427,23.01982258,30.84399256,26.13504936,53.29517745,41.32421726,1.042984433,25.5
25.6720772,26.12094821,35.17547036,27.78825945,87.74248536,23.15296929,0.96592664,29.5
21.38071979,22.52869429,31.86987513,28.12012936,81.97535177,31.35845329,0.900684316,25.5
24.0081052,23.79384083,31.21485878,27.30628797,49.68319057,3.714630884,1.018091161,31.5
27.61184698,26.36726621,31.5081378,28.21958941,72.25332733,6.230613544,1.096631478,25
23.43980633,24.04787697,34.66143397,28.88507671,64.19473937,46.92802927,0.950067704,25
18.45866173,20.82079568,32.00345209,27.76670892,68.74270396,19.38215188,0.785969652,27.5
22.1502461,21.90085484,27.18539809,25.93960665,54.82718017,22.18823651,1.022904238,21.5
31.75113256,29.35048343,35.19734365,32.84418915,102.4759986,26.04520336,1.170274992,24.5
24.24337354,25.22864044,35.26303005,31.76932938,67.46969285,24.74198173,0.923418161,30
30.1118144,30.08793823,37.87475836,36.51497919,136.0331558,18.79479942,1.001587722,24
22.30267925,21.93609813,28.9895912,25.27233272,41.21696257,30.38516774,1.033701905,20.5
24.95517447,25.60089898,33.09726257,27.28722247,104.6616049,49.61318453,0.95019073,26
21.73628352,22.56826,26.95153643,23.81746964,60.85779744,31.60107862,0.927629235,23.5
20.53863175,22.97519905,33.21352845,30.41879912,40.95731151,5.031793693,0.79914291,25
22.56339692,24.09678597,31.52037155,29.47928193,58.62474013,18.4321757,0.876780184,22.5
20.40360682,22.13334616,29.11522367,27.88138944,68.08784968,29.87209346,0.849805895,20
20.76548675,23.72026027,34.93435564,32.21563186,76.76401453,28.69056551,0.766382062,25
21.40411775,21.30165209,27.09413246,23.64924922,56.58334632,20.63897694,1.00964358,22
23.32447124,23.60142101,31.76573342,25.51000049,39.93254275,17.72849922,0.976668791,27.5
18.4795861,20.81257728,31.66555771,30.3313166,61.99181628,11.13532151,0.788374834,23
23.14714383,22.93974514,28.19740296,25.59220263,94.93687312,17.82024615,1.01816378,21.5
23.44908486,24.42599133,31.47749304,28.13048384,87.3744019,31.67896027,0.921610469,23
26.24670274,26.80052169,36.01915609,33.68084346,110.2171582,24.56960184,0.959098053,27.5
24.33827493,25.17723364,32.75922305,29.91364198,67.36014051,33.67964974,0.934466131,23.5
26.11169848,26.24810492,32.09173981,29.49271637,39.1070082,36.1493705,0.989633384,23
26.16385355,26.62352837,35.17974754,32.24609711,80.34927005,27.3002927,0.965766633,25.5
20.43395872,21.7335906,30.32965069,25.71321175,36.47345989,25.62952169,0.883979227,26.5
26.55029789,25.63423312,29.80448182,27.34564648,55.57960154,25.63407469,1.072749047,19.5
27.93861749,27.66950101,38.60764116,35.09142597,73.69050613,35.96822371,1.019546807,33.5
18.09864601,19.78841546,26.98072574,25.47814467,44.0424267,41.27064112,0.836508064,21
27.47701233,27.1273169,37.04793209,32.15158465,86.43060458,42.05308427,1.025947969,29.5
20.72182967,22.95430881,33.55429479,32.40509754,50.52111533,34.66415708,0.814943986,22.5
21.36278792,21.15678541,27.57200814,25.44432983,43.38684698,11.5438281,1.019568703,21.5
26.17568002,26.5814641,36.72112884,32.46347331,26.11327287,24.56980858,0.969701684,28.5
29.73003002,27.45981045,35.12736015,31.02236111,77.34171004,31.60061594,1.172183559,30
22.41385142,24.00918569,31.26520392,27.10695933,50.83043124,23.02612522,0.871521522,24.5
28.24241537,27.45973789,34.14053513,30.44878923,100.9039331,24.42041449,1.057817864,24
22.51184414,24.51202667,32.77314228,30.89605221,72.67865531,33.14701565,0.843458474,23
24.0658506,23.68961085,34.13062605,27.58713371,80.37835917,59.21941857,1.032016353,28.5
23.77884812,24.15041518,31.86487909,28.40744947,59.69373752,22.40855763,0.969465644,27.5
20.12281038,20.23483458,25.14352108,24.3048728,46.10083901,20.48108654,0.988958239,21.5
22.55843703,23.19105007,31.07120909,27.45755444,46.75480588,24.84430146,0.946187454,27
